medio,puntuacion,comentario,indice_ia,comentario_traducida
Gaming Age,100.0,"Red Dead Redemption was a great game when it came out in 2010, and this proves it’s still a great game in 2023. While some classics from previous generations feel dated, that’s certainly not the case here – and if you missed it (or weren’t around for it) thirteen years ago, now’s the time to finally play it. And if you did play it? Maybe it’s time to play it again.",3,"Red Dead Redemption fue un gran juego cuando salió en 2010, y esto demuestra que seguirá siendo un gran juego en 2023. Si bien algunos clásicos de generaciones anteriores parecen anticuados, ese no es el caso aquí, y si te lo perdiste (o no estuviste presente) hace trece años, ahora es el momento de jugarlo finalmente. ¿Y si lo jugaras? Quizás sea hora de volver a jugarlo."
Bastidores,100.0,"Red Dead Redemption remains one of Rockstar’s greatest achievements, turning the death of the Old West into a tragic, unforgettable journey of violence, redemption, and consequence.",4,"Red Dead Redemption sigue siendo uno de los mayores logros de Rockstar, ya que convierte la muerte del Viejo Oeste en un trágico e inolvidable viaje de violencia, redención y consecuencias."
Saving Content,100.0,"In terms of price, I do feel it is worth it; but given how much time has passed, should be something slightly cheaper despite how much work has been put into this. Red Dead Redemption is a fantastic spaghetti western in video game form that still has, and is only surpassed by the equally fantastic 2018’s Red Dead Redemption 2. In the 14 years of its release, this remains a blueprint of incredible open-world design from its characters, missions, and things to do. This is not a game of just nostalgia, but endurance over time. Red Dead Redemption is still a masterpiece, and can now finally be enjoyed to the fullest on PC.",5,"En términos de precio, creo que vale la pena; pero dado el tiempo que ha pasado, debería ser algo un poco más barato a pesar de todo el trabajo que se ha puesto en ello. Red Dead Redemption es un fantástico spaghetti western en forma de videojuego que todavía existe, y solo es superado por el igualmente fantástico Red Dead Redemption 2 de 2018. En los 14 años de su lanzamiento, este sigue siendo un modelo de increíble diseño de mundo abierto a partir de sus personajes, misiones y cosas para hacer. Este no es un juego de nostalgia, sino de perseverancia en el tiempo. Red Dead Redemption sigue siendo una obra maestra y ahora finalmente se puede disfrutar al máximo en PC."
Portal E7,100.0,"Red Dead Redemption is without a doubt one of the best and most impressive titles of the Xbox 360 and PlayStation 3 generation. Featuring an extremely well-constructed and, in a way, even emotional story, the game is marked by charismatic characters, with some of them being quite peculiar.",5,"Red Dead Redemption es sin duda uno de los mejores y más impresionantes títulos de la generación Xbox 360 y PlayStation 3. Con una historia muy bien construida y, en cierto modo, incluso emotiva, el juego está marcado por personajes carismáticos, algunos de ellos bastante peculiares."
Digital Chumps,98.0,'Red Dead Redemption' is a game that will stand the test of time no matter what...The West will always hold a special place in my heart and life.,7,'Red Dead Redemption' es un juego que resistirá la prueba del tiempo pase lo que pase... Occidente siempre ocupará un lugar especial en mi corazón y en mi vida.
Player2.net.au,91.0,"The price, however, is literally the only bad thing I can say about what is one of my favourite gaming experiences of all time. It may be an old game now, but it is one that has aged like fine wine. The gameplay is pitch-perfect, the art direction is stunning and the story holds the same emotional impact it always did.",5,"El precio, sin embargo, es literalmente lo único malo que puedo decir de la que es una de mis experiencias de juego favoritas de todos los tiempos. Puede que ahora sea un juego antiguo, pero ha envejecido como el buen vino. La jugabilidad es perfecta, la dirección de arte es impresionante y la historia tiene el mismo impacto emocional de siempre."
Enternity.gr,90.0,"Red Dead Redemption PS4 belongs to the category of games that make you wonder, how to judge a legend of that time, knowing the technological data of the modern era",4,"Red Dead Redemption PS4 pertenece a la categoría de juegos que te hacen preguntarte cómo juzgar una leyenda de esa época, conociendo los datos tecnológicos de la era moderna."
Eternal Games,90.0,"Red Dead Redemption is considered one of the most prominent narrative games in the history of the industry, as it offered a touching human journey through the character of John Marston and his attempt to escape his past and save his family. The game was characterized by a living world full of details, strong writing, and unforgettable characters, alongside moving events that made the experience stuck in players' minds until today. Despite the existence of some problems such as repetition and excessive travel, the game remains an exceptional experience, especially regarding the technical and narrative standards of 2010, confirming Rockstar Games' status as one of the best gaming companies in delivering stories and world-building.",5,"Red Dead Redemption es considerado uno de los juegos narrativos más destacados en la historia de la industria, ya que ofrecía un conmovedor viaje humano a través del personaje de John Marston y su intento de escapar de su pasado y salvar a su familia. El juego se caracterizó por un mundo vivo lleno de detalles, una escritura sólida y personajes inolvidables, junto con eventos conmovedores que hicieron que la experiencia quedara grabada en la mente de los jugadores hasta el día de hoy. A pesar de la existencia de algunos problemas como la repetición y los viajes excesivos, el juego sigue siendo una experiencia excepcional, especialmente en lo que respecta a los estándares técnicos y narrativos de 2010, lo que confirma el estatus de Rockstar Games como una de las mejores compañías de juegos en la entrega de historias y construcción de mundos."
Rectify Gaming,90.0,"From quality-of-life improvements to entirely new gameplay experiences, mods breathe fresh life into Red Dead Redemption, extending its replayability far beyond the base game. Combined with faster loading times and improved stability, the PC version stands out as the best way to explore John Marston’s epic journey through the frontier.",5,"Desde mejoras en la calidad de vida hasta experiencias de juego completamente nuevas, las modificaciones dan nueva vida a Red Dead Redemption, extendiendo su rejugabilidad mucho más allá del juego base. Combinada con tiempos de carga más rápidos y una estabilidad mejorada, la versión para PC se destaca como la mejor manera de explorar el viaje épico de John Marston a través de la frontera."
NoobFeed,90.0,"Red Dead Redemption is a masterpiece that endures. Sure, it's a little rough around the edges, and the price point for this rerelease feels like a bit of a reach, but what you're getting is a weird little piece of gaming history story-driven experience that rarely comes along in such an unfiltered form.",5,"Red Dead Redemption es una obra maestra que perdura. Claro, es un poco tosco, y el precio de esta nueva versión parece un poco exagerado, pero lo que estás obteniendo es una pequeña y extraña experiencia basada en la historia de los juegos que rara vez se presenta en una forma tan sin filtrar."
Areajugones,90.0,"Red Dead Redemption on PC is a testament to the power of timeless design. This version not only preserves the magic of the original, but improves on it in significant ways. The fluidity of the unlocked framerate, the sharpness of 4K resolution, and the improvements to draw distance make this, without a doubt, the best way to experience this modern classic.",5,"Red Dead Redemption para PC es un testimonio del poder del diseño atemporal. Esta versión no sólo conserva la magia del original, sino que la mejora de manera significativa. La fluidez del framerate desbloqueado, la nitidez de la resolución 4K y las mejoras en la distancia de dibujo hacen de esta, sin duda, la mejor manera de experimentar este clásico moderno."
LevelUp,90.0,"Its impeccable remastering is an excellent excuse for those who wish to enjoy this wonderful, imposing and unforgettable adventure in its next-gen version for PlayStation 5, portable on Nintendo Switch or backward-compatible on Xbox Series X / S. As well as a first approach to those who did not enjoy his original work and wish to expand the powerful narrative experience that occurred after 'Red Dead Redemption 2'.",5,"Su impecable remasterización es una excelente excusa para quienes deseen disfrutar de esta maravillosa, imponente e inolvidable aventura en su versión next-gen para PlayStation 5, portátil en Nintendo Switch o retrocompatible en Xbox Series X/S. Así como un primer acercamiento para quienes no disfrutaron de su obra original y desean ampliar la potente experiencia narrativa vivida tras 'Red Dead Redemption 2'."
Andrenoob,90.0,"Red Dead Redemption on Steam is an experience that lives up to expectations for many years. Surpassing expectations of its original PS3 and Xbox 360 versions, to be the definitive edition of the game.",7,"Red Dead Redemption en Steam es una experiencia que está a la altura de las expectativas desde hace muchos años. Superando las expectativas de sus versiones originales de PS3 y Xbox 360, para ser la edición definitiva del juego."
Hobby Consolas,88.0,"It is indisputable that Red Dead Redemption is a masterpiece, a superb western and one of Rockstar's best games. If you haven't played it, you're going to enjoy it in a big way. But at the same time, other factors, such as price or the absence of major improvements, slightly cast a shadow over what should have been a great debut.",5,"Es indiscutible que Red Dead Redemption es una obra maestra, un western soberbio y uno de los mejores juegos de Rockstar. Si no lo has jugado, lo vas a disfrutar a lo grande. Pero al mismo tiempo, otros factores, como el precio o la ausencia de mejoras importantes, ensombrecen ligeramente lo que debería haber sido un gran debut."
Hobby Consolas,88.0,"It is a pity that more effort has not been put into the conversion, because the original RDR is still a masterpiece. Even with the flaws, it is worth revisiting.",7,"Es una pena que no se haya puesto más esfuerzo en la conversión, porque el RDR original sigue siendo una obra maestra. Incluso con los defectos, vale la pena revisarlo."
Impulsegamer,86.0,Step into the well worn boots of John Marsten and experience the Wild West in all its Glory!,2,¡Ponte las gastadas botas de John Marsten y experimenta el Salvaje Oeste en todo su esplendor!
